Название,Цена,Ссылка,Дата публикации,Продавец,Адрес
Детский велосипед бу,2000,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_bu_4237613481,-,-,no,-
Велосипед складной stern travel,5500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_skladnoy_stern_travel_4155672033,-,-,no,-
Велосипед Stern,8000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_stern_3963274075,-,-,no,-
"Велосипед, Stark Funriser 29.4+ (2023)",19990,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_stark_funriser_29.4_2023_4155844598,-,-,no,-
Велосипед дисна,4500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_disna_3902197135,-,-,no,-
Велосипед скоростной,5000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_skorostnoy_4237600720,-,-,no,-
Велосипед stels складной бу,4010,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_stels_skladnoy_bu_4025850005,-,-,no,-
Велосипед для девочки,1000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_dlya_devochki_2218408713,-,-,no,-
Электровелосипед монстр 1000w 60v 23ah,49000,https://www.avito.ru/rostov-na-donu/velosipedy/elektrovelosiped_monstr_1000w_60v_23ah_4142885818,-,-,no,-
"Велосипед детский подростковый 20""",5000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_detskiy_podrostkovyy_20_4162667841,-,-,no,-
Actiwell,1600,https://www.avito.ru/rostov-na-donu/velosipedy/actiwell_3990881787,-,-,no,-
Шоссейный велосипед,42000,https://www.avito.ru/rostov-na-donu/velosipedy/shosseynyy_velosiped_4192291184,-,-,no,-
Туклипсы mash Nylon Double toe clip,6000,https://www.avito.ru/rostov-na-donu/velosipedy/tuklipsy_mash_nylon_double_toe_clip_4221992857,-,-,no,-
Велосипед,20000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_3483981844,-,-,no,-
"Запчасти оригинальные,аксессуары для велосипеда",200,https://www.avito.ru/rostov-na-donu/velosipedy/zapchasti_originalnyeaksessuary_dlya_velosipeda_2822710895,-,-,no,-
Велосипед детский 18,7000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_detskiy_18_4095246313,-,-,no,-
Велосипед stern energy Line Baik,1,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_stern_energy_line_baik_4142131401,-,-,no,-
Велосипед детский 18 дюймов royal baby,9500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_detskiy_18_dyuymov_royal_baby_3880181201,-,-,no,-
Велосипед,6000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4032071983,-,-,no,-
Держатель бананов на велосипед,490,https://www.avito.ru/rostov-na-donu/velosipedy/derzhatel_bananov_na_velosiped_3920148577,-,-,no,-
Беговел детский,800,https://www.avito.ru/rostov-na-donu/velosipedy/begovel_detskiy_3906668575,-,-,no,-
Камера велосипедная caoyang 700х18/23с 23-622,400,https://www.avito.ru/rostov-na-donu/velosipedy/kamera_velosipednaya_caoyang_700h1823s_23-622_4145454377,-,-,no,-
Детский трехколесный велосипед складной,5000,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_trehkolesnyy_velosiped_skladnoy_4077453156,-,-,no,-
Велосипед Десна 2500,8000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_desna_2500_4207577526,-,-,no,-
Велосипед бу,10,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bu_4641789007,-,-,no,-
Горный велосипед Merida Big Nine 20 зеленый,35000,https://www.avito.ru/rostov-na-donu/velosipedy/gornyy_velosiped_merida_big_nine_20_zelenyy_2942896274,-,-,no,-
Запчасти на советский велосипед,100,https://www.avito.ru/rostov-na-donu/velosipedy/zapchasti_na_sovetskiy_velosiped_3728971553,-,-,no,-
Велосипед,6990,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_2477588820,-,-,no,-
Велосипед складной Аист SMART,6500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_skladnoy_aist_smart_4344068626,-,-,no,-
Скоростной велосипед 26,12350,https://www.avito.ru/rostov-na-donu/velosipedy/skorostnoy_velosiped_26_4067306095,-,-,no,-
Велосипед скоростной Бу с 17августа,14500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_skorostnoy_bu_s_17avgusta_4025460225,-,-,no,-
Велосипед,4700,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_3560703091,-,-,no,-
Детский велосипед 16 бу,2000,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_16_bu_4237823788,-,-,no,-
Велосипед,5000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4221843514,-,-,no,-
Велосипед Black out,9500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_black_out_3101731924,-,-,no,-
Велосипед горный,7000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gornyy_4085669534,-,-,no,-
Велосипед Speedone. хардтейл,87000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_speedone._hardteyl_4066597610,-,-,no,-
Велосипед,5000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_3087470601,-,-,no,-
Велосипед Stern Line Baik 1.0,13500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_stern_line_baik_1.0_4162936590,-,-,no,-
Новый горный 20 алюминий,12000,https://www.avito.ru/rostov-na-donu/velosipedy/novyy_gornyy_20_alyuminiy_4331584030,-,· сегодня в 10:07,Пользователь,-
Велосипеды бу взрослый 27.5,12000,https://www.avito.ru/rostov-na-donu/velosipedy/velosipedy_bu_vzroslyy_27.5_4206822412,-,-,no,-
Новый горный 29 колёса Al,14000,https://www.avito.ru/rostov-na-donu/velosipedy/novyy_gornyy_29_kolesa_al_4300500829,-,· сегодня в 10:07,Пользователь,-
"Новый велосипед фэтбайк, 26 дюймов, красный",14500,https://www.avito.ru/rostov-na-donu/velosipedy/novyy_velosiped_fetbayk_26_dyuymov_krasnyy_4240204105,-,-,no,-
Велосипед горный взрослый,18500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gornyy_vzroslyy_4425534297,-,· вчера в 18:00,Пользователь,"ростовская обл., ростов-на-дону, железнодорожный район
р-н железнодорожный"
Велосипеды бу взрослый,12000,https://www.avito.ru/rostov-na-donu/velosipedy/velosipedy_bu_vzroslyy_4092013038,-,-,no,-
Велосипед GT avalanche comp 27,59500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gt_avalanche_comp_27_3985133575,-,-,no,-
Продаю горный велосипед,7999,https://www.avito.ru/rostov-na-donu/velosipedy/prodayu_gornyy_velosiped_4094482771,-,-,no,-
Горный велосипед,8750,https://www.avito.ru/rostov-na-donu/velosipedy/gornyy_velosiped_4086925113,-,-,no,-
Trek Marlin 6 Горный Велосипед,52000,https://www.avito.ru/rostov-na-donu/velosipedy/trek_marlin_6_gornyy_velosiped_4156387355,-,-,no,-
Велосипед бу,28000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bu_4175532376,-,-,no,-
Велосипеды бу взрослый,12000,https://www.avito.ru/rostov-na-donu/velosipedy/velosipedy_bu_vzroslyy_4076861733,-,-,no,-
Детский велосипед,3000,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_3961311034,-,-,no,-
Велосипед детский 14,2000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_detskiy_14_3792289907,-,-,no,-
Велосипед,13000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4008218021,-,-,no,-
Велосипед детский 20,1000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_detskiy_20_3850711591,-,-,no,-
"Велосипед cube 27,5",38000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_cube_275_4096484338,-,-,no,-
Велосипед Format 7712 27.5 (2022),32000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_format_7712_27.5_2022_4153033483,-,-,no,-
"Шины велосипедные Maxxis, Continental, CST",850,https://www.avito.ru/rostov-na-donu/velosipedy/shiny_velosipednye_maxxis_continental_cst_3795977483,-,-,no,-
Педали для велосипеда West Biking,600,https://www.avito.ru/rostov-na-donu/velosipedy/pedali_dlya_velosipeda_west_biking_4180380682,-,-,no,-
Велосипед stinger для подростков,4500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_stinger_dlya_podrostkov_4294393489,-,-,no,-
Электровелосипед Wenbox монстр pro,55990,https://www.avito.ru/rostov-na-donu/velosipedy/elektrovelosiped_wenbox_monstr_pro_3785013657,-,-,no,-
Велосипед детский двухколесный с ручкой,6500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_detskiy_dvuhkolesnyy_s_ruchkoy_4219191320,-,-,no,-
Шатуны левые для велосипеда,500,https://www.avito.ru/rostov-na-donu/velosipedy/shatuny_levye_dlya_velosipeda_2025170518,-,-,no,-
Велосипед bmx,16300,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bmx_4314826832,-,-,no,-
Велосипед forward Apache 27.5 3.0,12000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_forward_apache_27.5_3.0_4145350009,-,-,no,-
Велосипед novatrack Prime,12000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_novatrack_prime_3853503799,-,-,no,-
Титановый руль tech team,6000,https://www.avito.ru/rostov-na-donu/velosipedy/titanovyy_rul_tech_team_4150790143,-,-,no,-
Велосипед для девочки 18 дюймов,4000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_dlya_devochki_18_dyuymov_4222076463,-,-,no,-
Велосипед скоростной подростковый,11000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_skorostnoy_podrostkovyy_3936349626,-,-,no,-
Велосипед btwin rockrider 5.0,6500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_btwin_rockrider_5.0_4042960448,-,-,no,-
Велосипед bear bike,12000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bear_bike_3610995388,-,-,no,-
Велосипед фэтбайк бу,17000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_fetbayk_bu_4025302255,-,-,no,-
Детский велосипед бу,500,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_bu_4326007293,-,-,no,-
Детский велосипед бу,5000,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_bu_4080720152,-,-,no,-
Велосипед горный Lorak Dynamic 24,12000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gornyy_lorak_dynamic_24_4093155777,-,· вчера в 13:28,Пользователь,"ростовская обл., ростов-на-дону, мкр-н западный
р-н советский"
Манетка переключатель передний,2000,https://www.avito.ru/rostov-na-donu/velosipedy/manetka_pereklyuchatel_peredniy_3669343213,-,-,no,-
Продаю велосипед бу,15500,https://www.avito.ru/rostov-na-donu/velosipedy/prodayu_velosiped_bu_4338971971,-,-,no,-
Электровелосипед Wenbox монстр Pro plus 30ah,67499,https://www.avito.ru/rostov-na-donu/velosipedy/elektrovelosiped_wenbox_monstr_pro_plus_30ah_3945154763,-,-,no,-
Велосипед gt avalanche,43000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gt_avalanche_4325741795,-,-,no,-
Велосипед подростковый бу,5000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_podrostkovyy_bu_4237809131,-,-,no,-
Велокресло детское koolah ff 29 polisport,4500,https://www.avito.ru/rostov-na-donu/velosipedy/velokreslo_detskoe_koolah_ff_29_polisport_4426339665,-,-,no,-
Велосипед диаметр колеса 26,16000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_diametr_kolesa_26_3936554811,-,-,no,-
Велосипед горный подростковый 24,5900,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gornyy_podrostkovyy_24_4459954779,-,-,no,-
Велосипед Pioneer comandor 24 колеса,13000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_pioneer_comandor_24_kolesa_4346350906,-,-,no,-
Велосипед Indi stark 7 скоростей,7000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_indi_stark_7_skorostey_4119189889,-,-,no,-
Велосипед,10000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_3867972432,-,-,no,-
Велосипед 26 колесо,9000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_26_koleso_3843483636,-,-,no,-
Велосипед bmx,12999,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bmx_4153437837,-,-,no,-
Велосипед подростковый с алюминиевой рамой Forward,10500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_podrostkovyy_s_alyuminievoy_ramoy_forward_4248024836,-,-,no,-
"Cube LTD cmpt 29""(19"" ростовка)",65000,https://www.avito.ru/rostov-na-donu/velosipedy/cube_ltd_cmpt_2919_rostovka_3854430772,-,-,no,-
Велосипед детский двухколесный astra novatrack,7500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_detskiy_dvuhkolesnyy_astra_novatrack_4530318411,-,-,no,-
"Велосипед Cronus Holts 1.0 29 (21"", 2020)",29500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_cronus_holts_1.0_29_21_2020_2836358430,-,-,no,-
Трицикл выставочный,10000,https://www.avito.ru/rostov-na-donu/velosipedy/tritsikl_vystavochnyy_2951474200,-,-,no,-
Детский велосипед,1000,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_4104899855,-,-,no,-
Велосипед скоростной горный Б/у,15000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_skorostnoy_gornyy_bu_4291696143,-,· вчера в 12:37,Пользователь,-
Велосипед forward,3000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_forward_4110730012,-,-,no,-
Велосипед maxxpro,15000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_maxxpro_4159681370,-,-,no,-
Велосипед взрослый 26,13000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_vzroslyy_26_4021987140,-,-,no,-
Велосипед nameless j2100D,9000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_nameless_j2100d_3985265017,-,-,no,-
Велосипед stern attack 24,7500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_stern_attack_24_3933461865,-,-,no,-
Велосипед горный взрослый,20000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gornyy_vzroslyy_4153304141,-,· вчера в 14:44,Пользователь,"ростовская обл., ростов-на-дону, ул. профинтерна, 12
р-н октябрьский"
Stern dynamic 2.0,10500,https://www.avito.ru/rostov-na-donu/velosipedy/stern_dynamic_2.0_4243107442,-,-,no,-
Электровелосипед монстр,52000,https://www.avito.ru/rostov-na-donu/velosipedy/elektrovelosiped_monstr_4120934480,-,-,no,-
Велосипед Беговел детский 3 в 1,4000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_begovel_detskiy_3_v_1_4249546767,-,-,no,-
Stels navigator 420 колесо 24,6500,https://www.avito.ru/rostov-na-donu/velosipedy/stels_navigator_420_koleso_24_4157333231,-,-,no,-
Заднее колесо бмх bmx,1500,https://www.avito.ru/rostov-na-donu/velosipedy/zadnee_koleso_bmh_bmx_4077154106,-,-,no,-
Велосипед Stels Navigator,7000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_stels_navigator_4307316960,-,-,no,-
Детский велосипед бу,3000,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_bu_4007597661,-,-,no,-
Велосипед specialized,18000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_specialized_4156512353,-,-,no,-
Детский велосипед,500,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_4180410648,-,-,no,-
Детский велосипед для девочки,5500,https://www.avito.ru/rostov-na-donu/velosipedy/detskiy_velosiped_dlya_devochki_4024871948,-,-,no,-
Велосипеды бу взрослый 26 колеса,13910,https://www.avito.ru/rostov-na-donu/velosipedy/velosipedy_bu_vzroslyy_26_kolesa_4094931402,-,-,no,-
Stels Navigator 480 FAT bike,17000,https://www.avito.ru/rostov-na-donu/velosipedy/stels_navigator_480_fat_bike_4113554432,-,-,no,-
Электровелосипед фетбайк бу,0,https://www.avito.ru/rostov-na-donu/velosipedy/elektrovelosiped_fetbayk_bu_4116442086,-,-,no,-
Stels Navigator 410,3500,https://www.avito.ru/rostov-na-donu/velosipedy/stels_navigator_410_4130610848,-,-,no,-
Forward Apache 2.0,10000,https://www.avito.ru/rostov-na-donu/velosipedy/forward_apache_2.0_1745317365,-,-,no,-
Велосипед,8000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_3696696020,-,-,no,-
Велосипед,9000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4133448208,-,-,no,-
Велосипед,5000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4174904658,-,-,no,-
Велосипед varma Benit 660DA,10000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_varma_benit_660da_4259599503,-,-,no,-
Велосипед горный (на рост от 146см),11000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gornyy_na_rost_ot_146sm_4160247616,-,· 31 июля в 07:43,Ксения,"ростовская обл., ростов-на-дону, советский район
р-н советский"
"Велосипед горный Stern Motion 1.0 27.5""",17000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gornyy_stern_motion_1.0_27.5_3849239487,-,· 4 августа в 00:28,Пользователь,"ростовская обл., ростов-на-дону, воронежская ул., 15
р-н ленинский"
Велосипед horh forest,15000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_horh_forest_4007603258,-,-,no,-
Велосипед,5000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4088633110,-,-,no,-
Велосипед Cube 27.5 Attention (DeoreXT/RockShox),47000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_cube_27.5_attention_deorextrockshox_4160008878,-,-,no,-
Скоростной велосипед kms,3500,https://www.avito.ru/rostov-na-donu/velosipedy/skorostnoy_velosiped_kms_4217928877,-,-,no,-
Велосипед бу Eurotex Scorpio,5000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bu_eurotex_scorpio_4248375389,-,-,no,-
Велосипед,500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4019765406,-,-,no,-
Велик,7500,https://www.avito.ru/rostov-na-donu/velosipedy/velik_4077204318,-,-,no,-
"Велосипед 24""",7000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_24_4091940055,-,-,no,-
Велосипед горный подростковый 20,5500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gornyy_podrostkovyy_20_4153458990,-,-,no,-
Горный велосипед на 26 колесах,7000,https://www.avito.ru/rostov-na-donu/velosipedy/gornyy_velosiped_na_26_kolesah_4156054772,-,-,no,-
Новый велосипед спортивный 26,10000,https://www.avito.ru/rostov-na-donu/velosipedy/novyy_velosiped_sportivnyy_26_4112642639,-,-,no,-
Велосипед,10000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4097242706,-,-,no,-
Велосипед подростковый 24,8000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_podrostkovyy_24_3980625502,-,-,no,-
Велосипеды бу взрослый скоростной,4000,https://www.avito.ru/rostov-na-donu/velosipedy/velosipedy_bu_vzroslyy_skorostnoy_4113208900,-,-,no,-
Велосипед бу,9000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bu_3971046708,-,-,no,-
Продается велосипед,12000,https://www.avito.ru/rostov-na-donu/velosipedy/prodaetsya_velosiped_4155933508,-,-,no,-
Велосипед горный алюминиевая рама Geri Fisher,15000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_gornyy_alyuminievaya_rama_geri_fisher_4091647236,-,· 6 августа в 07:36,Oleg,"ростовская обл., ростов-на-дону, ул. седова
р-н кировский"
"Велосипеды бу взрослый, 26 колеса",13000,https://www.avito.ru/rostov-na-donu/velosipedy/velosipedy_bu_vzroslyy_26_kolesa_3857017910,-,-,no,-
Велосипед,12500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_3996402733,-,-,no,-
Велосипеды бу взрослый,15000,https://www.avito.ru/rostov-na-donu/velosipedy/velosipedy_bu_vzroslyy_4161281808,-,-,no,-
Велосипед бу,3000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bu_3554058356,-,-,no,-
Мтб стрит стант дерт,20000,https://www.avito.ru/rostov-na-donu/velosipedy/mtb_strit_stant_dert_4244169856,-,-,no,-
Велосипед,3000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_3919392030,-,-,no,-
Велосипед rockrider st30,8000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_rockrider_st30_4026855187,-,-,no,-
Велосипед подростковый 20 дюймов,9000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_podrostkovyy_20_dyuymov_4160376048,-,-,no,-
Гидравлические тормоза Promax Decipher GT Hayes,1500,https://www.avito.ru/rostov-na-donu/velosipedy/gidravlicheskie_tormoza_promax_decipher_gt_hayes_4155561907,-,-,no,-
Велосипед взрослый Торг,7000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_vzroslyy_torg_4283106558,-,-,no,-
Велосипед,13000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4244117732,-,-,no,-
Велосипед бу в отличном состоянии,8000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bu_v_otlichnom_sostoyanii_4099896778,-,-,no,-
Велосипеды бу взрослый,9000,https://www.avito.ru/rostov-na-donu/velosipedy/velosipedy_bu_vzroslyy_4119449648,-,-,no,-
Велосипед бу,5000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_bu_4175322852,-,-,no,-
Электрический питбайк,89900,https://www.avito.ru/rostov-na-donu/velosipedy/elektricheskiy_pitbayk_3939268646,-,-,no,-
Велосипед Roush,12000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_roush_4085611546,-,-,no,-
Велосипед Forward Agris 2.0,15000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_forward_agris_2.0_4162928459,-,-,no,-
Велосипед,18500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4085929051,-,-,no,-
Продаю велосипед,8000,https://www.avito.ru/rostov-na-donu/velosipedy/prodayu_velosiped_3362850876,-,-,no,-
Горный велосипед giant,13900,https://www.avito.ru/rostov-na-donu/velosipedy/gornyy_velosiped_giant_4272381205,-,· 5 августа в 21:22,Пользователь,"ростовская обл., ростов-на-дону, нахичевань, ул. 11-я линия, 54/64
р-н пролетарский"
Велосипед,6500,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_3340798686,-,-,no,-
Велосипед,3000,https://www.avito.ru/rostov-na-donu/velosipedy/velosiped_4085617619,-,-,no,-
